title,url,price,image,manufacturer,details
Bugatti GT60 Car Led Headlight Bulb 40000LM|6500K|400W|H4,https://www.pakwheels.com/accessories-spare-parts/bugatti-gt60-car-led-headlight-bulb-40000lm-6500k-400w-h4-11062420,"PKR 5,940 PKR 6,600",N/A,New Super Autos,"Bugatti GT60 Car Led Headlight Bulb 40000LM|6500K|400W|H4
Improve your driving experience using LED Headlight Bulbs Each set comes with an easy-to-follow installation guide, everyone can personally install them, and we really mean EVERYONE! Perfect beam pattern with no dark spots. Light up your road and enhance your visibility. Array chip design ensures 360º uniform light without any dark spots, providing a wider viewing angle. Mini Design. Small body for strong fit, it can be used on 99% of vehicle models. High power, Over 30,000 hrs of brilliant continuous light. The high pure white light of color temp 6500k. High brightness in the dark to secure your safety is a perfect replacement for the old and yellow bulbs.
Specification:
Light Source Type: LED
Brand: Bugatti
Fit Type: Vehicle-Specific Fit
Color: Pure White light
Operating Voltage: DC 9-32v
Input: DC 12V
Watts: 400W
Luminous Flux: 40000LM/Pair
IP Rate: IP65
Color Temperature: 6500K
Heat Dissipation: Aviation Aluminium
Operating Life: >30000hrs
Product Features:
Waterproof
Dustproof
Easy to Installation
Brighter Than Regular Headlights.
Can Be Fit on 99% of Vehicle Models"
Bugatti GT60 Car Led Headlight Bulb 40000LM|6500K|400W|9005,https://www.pakwheels.com/accessories-spare-parts/bugatti-gt60-car-led-headlight-bulb-40000lm-6500k-400w-9005-11062428,"PKR 5,940 PKR 6,600",N/A,New Super Autos,"Bugatti GT60 Car Led Headlight Bulb 40000LM|6500K|400W|9005
Improve your driving experience using LED Headlight Bulbs Each set comes with an easy-to-follow installation guide, everyone can personally install them, and we really mean EVERYONE! Perfect beam pattern with no dark spots. Light up your road and enhance your visibility. Array chip design ensures 360º uniform light without any dark spots, providing a wider viewing angle. Mini Design. Small body for strong fit, it can be used on 99% of vehicle models. High power, Over 30,000 hrs of brilliant continuous light. The high pure white light of color temp 6500k. High brightness in the dark to secure your safety is a perfect replacement for the old and yellow bulbs.
Specification:
Light Source Type: LED
Brand: Bugatti
Fit Type: Vehicle-Specific Fit
Color: Pure White light
Operating Voltage: DC 9-32v
Input: DC 12V
Watts: 400W
Luminous Flux: 40000LM/Pair
IP Rate: IP65
Color Temperature: 6500K
Heat Dissipation: Aviation Aluminium
Operating Life: >30000hrs
Product Features:
Waterproof
Dustproof
Easy to Installation
Brighter Than Regular Headlights.
Can Be Fit on 99% of Vehicle Models"
Bugatti GT60 Car Led Headlight Bulb 40000LM|6500K|400W|H11,https://www.pakwheels.com/accessories-spare-parts/bugatti-gt60-car-led-headlight-bulb-40000lm-6500k-400w-h11-11062433,"PKR 5,940 PKR 6,600",N/A,New Super Autos,"Bugatti GT60 Car Led Headlight Bulb 40000LM|6500K|400W|H11
Improve your driving experience using LED Headlight Bulbs Each set comes with an easy-to-follow installation guide, everyone can personally install them, and we really mean EVERYONE! Perfect beam pattern with no dark spots. Light up your road and enhance your visibility. Array chip design ensures 360º uniform light without any dark spots, providing a wider viewing angle. Mini Design. Small body for strong fit, it can be used on 99% of vehicle models. High power, Over 30,000 hrs of brilliant continuous light. The high pure white light of color temp 6500k. High brightness in the dark to secure your safety is a perfect replacement for the old and yellow bulbs.
Specification:
Light Source Type: LED
Brand: Bugatti
Fit Type: Vehicle-Specific Fit
Color: Pure White light
Operating Voltage: DC 9-32v
Input: DC 12V
Watts: 400W
Luminous Flux: 40000LM/Pair
IP Rate: IP65
Color Temperature: 6500K
Heat Dissipation: Aviation Aluminium
Operating Life: >30000hrs
Product Features:
Waterproof
Dustproof
Easy to Installation
Brighter Than Regular Headlights.
Can Be Fit on 99% of Vehicle Models"
Max Power Car Led Headlight Bulb 100000LM|6500K|1000W|H4,https://www.pakwheels.com/accessories-spare-parts/max-power-car-led-headlight-bulb-100000lm-6500k-1000w-h4-11062454,"PKR 9,680 PKR 11,000",N/A,New Super Autos,"Max Power Car Led Headlight Bulb 100000LM|6500K|1000W|H4
Improve your driving experience using LED Headlight Bulbs Each set comes with an easy-to-follow installation guide, everyone can personally install them, and we really mean EVERYONE! Perfect beam pattern with no dark spots. Light up your road and enhance your visibility. Array chip design ensures 360º uniform light without any dark spots, providing a wider viewing angle. Mini Design. Small body for strong fit, it can be used on 99% of vehicle models. High power, Over 30,000 hrs of brilliant continuous light. The high pure white light of color temp 6500k. High brightness in the dark to secure your safety is a perfect replacement for the old and yellow bulbs.
Specification:
Light Source Type: LED
Brand: MAXXPOWER
Fit Type: Vehicle-Specific Fit
Color: Pure White light
Operating Voltage: DC 9-32v
Input: DC 12V
Watts: 1000W
Luminous Flux: 100000LM/Pair
IP Rate: IP65
Color Temperature: 6500K
Heat Dissipation: Aviation Aluminium
Operating Life: >30000hrs
Product Features:
Waterproof
Dustproof
Easy to Installation
Brighter Than Regular Headlights.
Can Be Fit on 99% of Vehicle Models"
Max Power Car Led Headlight Bulb 100000LM|6500K|1000W|9005,https://www.pakwheels.com/accessories-spare-parts/max-power-car-led-headlight-bulb-100000lm-6500k-1000w-9005-11062462,"PKR 9,680 PKR 11,000",N/A,New Super Autos,"Max Power Car Led Headlight Bulb 100000LM|6500K|1000W|9005
Improve your driving experience using LED Headlight Bulbs Each set comes with an easy-to-follow installation guide, everyone can personally install them, and we really mean EVERYONE! Perfect beam pattern with no dark spots. Light up your road and enhance your visibility. Array chip design ensures 360º uniform light without any dark spots, providing a wider viewing angle. Mini Design. Small body for strong fit, it can be used on 99% of vehicle models. High power, Over 30,000 hrs of brilliant continuous light. The high pure white light of color temp 6500k. High brightness in the dark to secure your safety is a perfect replacement for the old and yellow bulbs.
Specification:
Light Source Type: LED
Brand: MAXXPOWER
Fit Type: Vehicle-Specific Fit
Color: Pure White light
Operating Voltage: DC 9-32v
Input: DC 12V
Watts: 1000W
Luminous Flux: 100000LM/Pair
IP Rate: IP65
Color Temperature: 6500K
Heat Dissipation: Aviation Aluminium
Operating Life: >30000hrs
Product Features:
Waterproof
Dustproof
Easy to Installation
Brighter Than Regular Headlights.
Can Be Fit on 99% of Vehicle Models"
Max Power Car Led Headlight Bulb 100000LM|6500K|1000W|H11,https://www.pakwheels.com/accessories-spare-parts/max-power-car-led-headlight-bulb-100000lm-6500k-1000w-h11-11062471,"PKR 9,680 PKR 11,000",N/A,New Super Autos,"Max Power Car Led Headlight Bulb 100000LM|6500K|1000W|H11
Improve your driving experience using LED Headlight Bulbs Each set comes with an easy-to-follow installation guide, everyone can personally install them, and we really mean EVERYONE! Perfect beam pattern with no dark spots. Light up your road and enhance your visibility. Array chip design ensures 360º uniform light without any dark spots, providing a wider viewing angle. Mini Design. Small body for strong fit, it can be used on 99% of vehicle models. High power, Over 30,000 hrs of brilliant continuous light. The high pure white light of color temp 6500k. High brightness in the dark to secure your safety is a perfect replacement for the old and yellow bulbs.
Specification:
Light Source Type: LED
Brand: MAXXPOWER
Fit Type: Vehicle-Specific Fit
Color: Pure White light
Operating Voltage: DC 9-32v
Input: DC 12V
Watts: 1000W
Luminous Flux: 100000LM/Pair
IP Rate: IP65
Color Temperature: 6500K
Heat Dissipation: Aviation Aluminium
Operating Life: >30000hrs
Product Features:
Waterproof
Dustproof
Easy to Installation
Brighter Than Regular Headlights.
Can Be Fit on 99% of Vehicle Models"
TOKYO High Pressure Washer- Induction Motor- 1000Watt- 200Bar Auto Suction System,https://www.pakwheels.com/accessories-spare-parts/tokyo-high-pressure-washer-induction-motor-1000watt-200bar-auto-suction-system-11063697,"PKR 18,999 PKR 21,000",N/A,Harlays Auto Care,"TOKYO HIGH PRESSURE WASHER
SPECIFICATIONS
MODEL: T9
Rated Voltage: 1000W
Maximum Pressure: 200Bar
Maximum Power: 220V-50Hz
Maximum Flow: 9.0 L/Min
Water Temperature: 0-40 C
Induction Motor
TOKYO HIGH PRESSURE WASHER
SPECIFICATIONS
MODEL: T9
Rated Voltage: 1000W
Maximum Pressure: 200Bar
Maximum Power: 220V-50Hz
Maximum Flow: 9.0 L/Min
Water Temperature: 0-40 C
Induction Motor
Auto Stop System
Water From Tape And Bucket Both System
1x service gun
1x Connector
1x Adapter
1x Filter
1x Sucking Pipe
1x Shampoo Bottle
1x Service Pipe 5meter"
Zingfix Scratch Remover 120ML,https://www.pakwheels.com/accessories-spare-parts/zingfix-scratch-remover-120ml-11062480,"PKR 1,000 PKR 1,499",N/A,ZingFix,"Description:
Say goodbye to light scratches, swirl marks, and paint dullness with the
Zingfix Scratch Remover Kit
—a complete solution that includes a 120ML bottle of high-performance scratch remover and a soft foam
Applicator Pad
for smooth, even application. This easy-to-use combo is designed to restore your vehicle’s finish, enhance gloss, and eliminate minor surface imperfections—all from the comfort of your garage.
Formulated with advanced micro-abrasives, the scratch remover gently polishes the surface, removing fine blemishes without damaging your paint. The included applicator pad ensures precise control and a professional finish with every use.
What’s Inside:
1 x 120ML Zingfix Scratch Remover
1 x Soft Foam Applicator Pad
Key Features:
Removes Light Scratches & Swirls:
Effectively reduces scuff marks, swirl lines, oxidation, and minor imperfections.
Includes Applicator Pad:
Makes application cleaner, faster, and more efficient.
Restores Shine & Clarity:
Polishes the paint to a brilliant, smooth finish.
Safe on All Paint Types:
Works on clear coats, metallic, and solid paint finishes.
DIY Friendly:
No machines or expertise needed—just apply, rub, and buff.
How to Use:
Clean and dry the area to be treated.
Pro Tip: For best results, avoid direct sunlight during application.
Apply a small amount of product to the included applicator pad.
Rub the product onto the surface using firm, circular motions.
Let it sit for a moment, then buff with a clean microfiber towel.
Repeat if needed for deeper marks."
Zingfix Ceramic Coating Spray,https://www.pakwheels.com/accessories-spare-parts/zingfix-ceramic-coating-spray-11056021,"PKR 1,200 PKR 2,000",N/A,ZingFix,"Give your vehicle the ultimate shine and protection it deserves with
Zingfix Ceramic Coating Spray
—a professional-grade formula designed for car enthusiasts and detailers alike. Infused with
advanced SiO₂ (Silicon Dioxide) technology
, this spray forms a tough, long-lasting ceramic shield over your vehicle’s exterior that enhances gloss, increases surface slickness, and defends against harsh environmental elements.
Whether you're looking to maintain your car's paint job, increase shine, or reduce the need for frequent washes, Zingfix has you covered.
Key Features:
Advanced SiO₂ Protection:
Creates a hydrophobic and UV-resistant barrier that repels water, dirt, and grime.
Mirror-Like Gloss:
Deepens paint clarity and enhances color depth for that showroom shine.
Multi-Surface Safe:
Suitable for paint, plastic, chrome, headlights, glass, and even rims.
Quick & Easy Application:
No need for complicated tools or professional help—just spray, wipe, and buff.
Long-Lasting Results:
Provides durable protection for up to 3–6 weeks with a single application.
How to Use:
Wash and dry
your vehicle thoroughly to remove all dirt and contaminants.
Shake the bottle
well before use.
Spray a light mist
of Zingfix Ceramic Coating onto a clean microfiber towel or directly onto the surface.
Spread evenly
using the towel or an applicator pad in straight lines.
Buff gently
with a dry microfiber cloth until the surface is clear and glossy.
Allow the coating to
cure for 4–6 hours
for best results. Avoid water contact during this period.
Ideal For:
Daily drivers who want quick protection
Car detailers looking to enhance gloss and slickness
Anyone who wants water-beading magic and less time spent washing"
Icon Plus Boost Performance & Shine Bundle,https://www.pakwheels.com/accessories-spare-parts/boost-performance-and-shine-bundle-10443960,"PKR 2,690 PKR 3,500",N/A,Icon International,"Icon Plus Boost Performance & Shine Bundle
Engine degreaser 650 ML
Breakfluid Dot 3 450 ML
Injector Cleaner 400 ML
Glass Cleaner 500 ML
Microfiber towel 600 GSM (30*40)
https://www.pakwheels.com/accessories-spare-parts/8-in-1-exclusive-car-care-kit-10252364"
Icon Plus 8 In 1 Exclusive Car Care Kit,https://www.pakwheels.com/accessories-spare-parts/8-in-1-exclusive-car-care-kit-10252364,"PKR 4,860 PKR 6,000",N/A,Icon International,"Bundle Include:
Tire shiner (650 ML)
Foam Cleaner
(650 ML)
Dashboard Polish (450 ML)
Microfiber Towel 600GSM (30*40)
Shiny Spray (100 ML)
Anti-Rust Spray (100 ML)
Car Shampoo (500 ML)
Would you like to order the 8 In 1 Exclusive Car Care Kit
Click on this link
8 In 1 Premium Car Care Kit"
Icon Plus 8 In 1 Premium Car Care Kit,https://www.pakwheels.com/accessories-spare-parts/8-in-1-premium-car-care-kit-10252344,"PKR 4,500 PKR 5,800",N/A,Icon International,"Bundle include:
Microfiber Towel 600GSM (30*40)
Tire Gel (500 ML)
Glass Cleaner (500 ML)
All-Purpose Cleaner (500 ML)
Car Wash Shampoo (500 ML)
Engine Degreaser (500 ML)
Shiny Protectant (500 ML)
Would you like to order the 8 In 1 Exclusive Car Care Kit
Click on this link
8 In 1 Exclusive Car Care Kit"
Icon Plus 5-in-1 Premium Car Care Bundle,https://www.pakwheels.com/accessories-spare-parts/dashboard-polish-vanilla-450ml-revitalize-your-dashboard-with-vanilla-dashboard-polish-9805300,"PKR 2,440 PKR 3,200",N/A,Icon International,"All-in-One Shine: 5-in-1 Icon Plus Premium Car Care Bundle for a Showroom Finish
Transform your car care routine with our 5-in-1 Icon Plus Water Base Premium Car Care Bundle, designed to give your vehicle a showroom shine effortlessly. Perfect for enthusiasts and everyday drivers alike, this comprehensive kit includes everything you need to maintain your car's pristine condition.
Key Features:
● Brilliant Wash & Shine: Our specially formulated Icon Plus car wash shampoo gently removes dirt, grime, and road residue, leaving behind a streak-free, glossy finish.
● Ultimate Protection: The included Icon Plus shiny protectant shields your car's exterior from the elements, keeping it looking newer for longer.
● Crystal Clear View: Effortlessly remove fingerprints, smudges, and dirt from your windows and mirrors with our powerful Icon Plus glass cleaner, ensuring exceptional visibility and a safer driving experience.
● Scratch-Free Shine: The high-quality Icon Plus microfiber cloth gently buffs and polishes your car to a showroom shine, without leaving scratches or lint.
● Eco-Friendly Formula: Icon Plus water-based products are tough on dirt, but gentle on the environment.
Benefits:
● Effortless Car Care: This all-inclusive bundle provides everything you need for a complete car detailing at home.
● Saves Time & Money: Skip expensive car washes and detailing services. This bundle offers professional-grade results at a fraction of the cost.
● Long-Lasting Shine: Protect your car's paint job and keep it looking its best for months to come.
Order your 5-in-1 Water Base Premium Car Care Bundle today and experience the difference!"
Toyota Passo 2016-2025 Denso Genuine Cabin Filter - Toyota OEM Quality,https://www.pakwheels.com/accessories-spare-parts/toyota-passo-2016-2025-denso-genuine-cabin-filter-toyota-oem-quality-10958118,"PKR 2,250",N/A,Auto House,"Toyota Passo 2016-2025 Denso Genuine Cabin Filter - Toyota OEM Quality
• The Denso cabin air filter ensures clean and healthy air inside your vehicle, creating a comfortable environment for you and your passengers.
• It offers original equipment manufacturer (OEM) quality, ensuring optimal performance and durability for long-lasting use and peace of mind.
• Specifically engineered to perfectly fit a wide range of automotive applications, ensuring a precise and seamless fit for your vehicle.
• This filter enhances the efficiency of your vehicle's air conditioning system, providing a more enjoyable driving experience, especially during hot weather, by purifying the air."
